Invoice No.,Origin Code,Destination Code,Total Weight,Dispatch Date
INV_12062024_01,A123,12854184,848,12/06/23 00:00
INV_12062024_02,A123,12854192,900,12/06/23 00:00
INV_12062024_03,A123,12854113,1120,12/06/23 00:00
INV_12062024_04,A123,12854117,900,12/06/23 00:00
INV_12062024_05,A123,12854138,696,12/06/23 00:00
INV_12062024_06,A123,10212258,418,12/06/23 00:00
INV_12062024_07,A123,12219936,311,12/06/23 00:00
INV_12062024_08,A123,12194109,202.5,12/06/23 00:00
INV_12062024_09,A123,10364896,242,12/06/23 00:00
INV_12062024_10,A123,10208595,119.5,12/06/23 00:00
INV_12062024_11,A123,10208686,178,12/06/23 00:00
INV_12062024_12,A123,12656560,417,12/06/23 00:00
INV_12062024_13,A123,10208675,146,12/06/23 00:00
INV_12062024_14,A123,10208575,168,12/06/23 00:00
INV_12062024_15,A123,10208698,263,12/06/23 00:00
INV_12062024_16,A123,10208593,232,12/06/23 00:00
INV_12062024_17,A123,12044475,278,12/06/23 00:00
INV_12062024_18,A123,10208659,516.88,12/06/23 00:00
INV_12062024_19,A123,10208776,503,12/06/23 00:00
INV_12062024_20,A123,12715142,155,12/06/23 00:00
INV_12062024_21,A123,10208595,164,12/06/23 00:00
INV_12062024_22,A123,10208596,170,12/06/23 00:00
INV_12062024_23,A123,10208681,338,12/06/23 00:00
INV_12062024_24,A123,12475666,188,12/06/23 00:00
INV_12062024_25,A123,10212373,209,12/06/23 00:00
INV_12062024_26,A123,12475523,1060,12/06/23 00:00
INV_12062024_27,A123,12475516,604,12/06/23 00:00
INV_12062024_28,A123,12475628,528,12/06/23 00:00
INV_12062024_29,A123,12475665,180,12/06/23 00:00
INV_12062024_30,A123,12721000,1045,12/06/23 00:00
INV_12062024_31,A123,12475360,556,12/06/23 00:00
INV_12062024_32,A123,12475623,272,12/06/23 00:00
INV_12062024_33,A123,12854149,1000,12/06/23 00:00
INV_12062024_34,A123,12740556,1672,12/06/23 00:00
INV_12062024_35,A123,12854148,672,12/06/23 00:00
INV_12062024_36,A123,12854139,7200,12/06/23 00:00
INV_12062024_37,A123,12742843,836,12/06/23 00:00
INV_12062024_38,A123,12546176,836,12/06/23 00:00
INV_12062024_39,A123,10208670,88,12/06/23 00:00
INV_12062024_40,A123,10366979,304,12/06/23 00:00
INV_12062024_41,A123,10212202,1081,12/06/23 00:00
INV_12062024_42,A123,12779571,1254,12/06/23 00:00
INV_12062024_43,A123,12742843,2070,12/06/23 00:00
INV_12062024_44,A123,12194109,12,12/06/23 00:00
INV_12062024_45,A123,10208747,72,12/06/23 00:00
INV_12062024_46,A123,10208776,108,12/06/23 00:00
INV_12062024_47,A123,10208681,48,12/06/23 00:00
INV_12062024_48,A123,10208675,48,12/06/23 00:00
INV_12062024_49,A123,10208639,48,12/06/23 00:00
INV_12062024_50,A123,10208659,96,12/06/23 00:00
INV_12062024_51,A123,12715142,24,12/06/23 00:00
INV_12062024_52,A123,10208760,72,12/06/23 00:00
INV_12062024_53,A123,10310590,24,12/06/23 00:00
INV_12062024_54,A123,10364896,24,12/06/23 00:00
INV_12062024_55,A123,12044475,12,12/06/23 00:00
INV_12062024_56,A123,12750741,2800,12/06/23 00:00
INV_12062024_57,A123,12750741,2000,12/06/23 00:00
INV_12062024_58,A123,10208659,48,12/06/23 00:00
INV_12062024_59,A123,12715142,12,12/06/23 00:00
INV_12062024_60,A123,12854154,720,12/06/23 00:00
INV_12062024_61,A123,12854126,600,12/06/23 00:00
INV_12062024_62,A123,12854147,400,12/06/23 00:00
INV_12062024_63,A123,12995436,960,12/06/23 00:00
INV_12062024_64,A123,12021664,768,12/06/23 00:00
INV_12062024_65,A123,12171479,2717,12/06/23 00:00
INV_12062024_66,A123,12690815,320,12/06/23 00:00
INV_12062024_67,A123,10208762,212,12/06/23 00:00
INV_12062024_68,A123,10310757,310,12/06/23 00:00
INV_12062024_69,A123,10208602,1032,12/06/23 00:00
INV_12062024_70,A123,11539696,324,12/06/23 00:00
INV_12062024_71,A123,12725145,1045,12/06/23 00:00
INV_12062024_72,A123,12854137,800,12/06/23 00:00
INV_12062024_73,A123,12502170,510,12/06/23 00:00
INV_12062024_74,A123,10279711,1150,12/06/23 00:00
INV_12062024_75,A123,10208614,220,12/06/23 00:00
INV_12062024_76,A123,10208731,180,12/06/23 00:00
INV_12062024_77,A123,10208764,726,12/06/23 00:00
INV_12062024_78,A123,10208661,180,12/06/23 00:00
INV_12062024_79,A123,10208712,284,12/06/23 00:00
INV_12062024_80,A123,10208602,24,12/06/23 00:00
INV_12062024_81,A123,11539696,24,12/06/23 00:00
INV_12062024_82,A123,13005196,2485,12/06/23 00:00
INV_12062024_83,A123,10219625,200,12/06/23 00:00
INV_12062024_84,A123,10210421,836,12/06/23 00:00
INV_12062024_85,A123,10219625,2000,12/06/23 00:00
INV_12062024_86,A123,10210421,836,12/06/23 00:00
INV_12062024_87,A123,10210421,627,12/06/23 00:00
INV_12062024_88,A123,12489344,2090,12/06/23 00:00
